college_code,Institute Name,Institute Address,Region,District,Status,Autonomy Status,Minority Status
02114,"Deogiri Institute of Engineering and Management Studies, Aurangabad","Deogiri College Campus, Railway Station Road, Aurangabad",Aurangabad,Chhatrapati Sambhajinagar,Un-Aided,Non-Autonomous,Non-Minority
02116,"Matoshri Pratishan's Group of Institutions (Integrated Campus), Kupsarwadi , Nanded","Jijau Nagar, Off Nanded Latur Highway, Kupsarwadi, Post Vishnupuri. Dist. Nanded",Aurangabad,Nanded,Un-Aided,Non-Autonomous,Non-Minority
02127,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.","Near Airport,Hingoli Road, Nanded",Aurangabad,Nanded,Un-Aided,Non-Autonomous,Non-Minority
02129,"M.S. Bidve Engineering College, Latur","P.O. Box No. 112, Barshi Road, Latur",Aurangabad,Latur,Un-Aided,Non-Autonomous,Non-Minority
02130,"Terna Public Charitable Trust's College of Engineering, Osmanabad","Solapur  Road, Osmanabad",Aurangabad,Dharashiv,Un-Aided,Non-Autonomous,Non-Minority
02131,"Shree Tuljabhavani College of Engineering, Tuljapur","Naldurg Road, Tuljapur, Dist. Osmanabad",Aurangabad,Dharashiv,Un-Aided,Non-Autonomous,Non-Minority
02133,"Mahatma Basaweshwar Education Society's College of Engineering, Ambejogai","Ambejogai, Beed",Aurangabad,Beed,Un-Aided,Non-Autonomous,Non-Minority
02134,"Peoples Education Society's College of Engineering, Aurangabad","Nagasen Vana, Near Panchakki, University Rd., Aurangabad",Aurangabad,Chhatrapati Sambhajinagar,Un-Aided,Non-Autonomous,Non-Minority
02135,"Hi-Tech Institute of Technology, Aurangabad","P-119, Bajajnagar, Aurangabad",Aurangabad,Chhatrapati Sambhajinagar,Un-Aided,Non-Autonomous,Non-Minority
02136,"Aditya Engineering College , Beed","Telgaon Road, Beed Tal.& Dist. Beed",Aurangabad,Beed,Un-Aided,Non-Autonomous,Non-Minority
02137,"Nagnathappa Halge Engineering  College, Parli, Beed","At Brahmwadi , Post Tokwadi, Parli-Beed State Highway, Parli Vaijnath Dist. Beed",Aurangabad,Beed,Un-Aided,Non-Autonomous,Non-Minority
02138,"Matsyodari Shikshan Sansatha's College of Engineering and Technology, Jalna","Jalna-Aurangabad Road, Nagewadi, Jalna",Aurangabad,Jalna,Un-Aided,Non-Autonomous,Non-Minority
02146,"Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology, Osmanabad","Keshav Nagar, Jadahavwadi Road, Osmanabad.Tal.  & Dist. Osmanabad",Aurangabad,Dharashiv,Un-Aided,Non-Autonomous,Non-Minority
02250,"Aurangabad College of Engineering,  Naygaon Savangi, Aurangabad","GatT No 52, TUljapur Shivar, Naygoan Savangi, Aurangabad",Aurangabad,Chhatrapati Sambhajinagar,Un-Aided,Non-Autonomous,Non-Minority
02252,"Marathwada Shikshan Prasarak Mandal's Shri Shivaji Institute of Engineering and Management Studies, Parbhani","Vasmat Road,Parbhani",Aurangabad,Parbhani,Un-Aided,Non-Autonomous,Non-Minority
