college_code,college_name,branch_id,branch_name,seat_type,category_code,percentile,is_tfws,is_ews
01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,Other Than Home University Seats Allotted to Other Than Home University Candidates,LOPENO,93.882038,False,False
01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,Other Than Home University Seats Allotted to Home University Candidates,GVJO,32.0979389,False,False
01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,State Level,EWS,57.1959853,False,True
01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,State Level,DEFOPENS,93.5806257,False,False
01005,"Sant Gadge Baba Amravati University,Amravati",0100551710,Oil and Paints Technology,Home University Seats Allotted to Home University Candidates,GOPENH,57.2537563,False,False
01005,"Sant Gadge Baba Amravati University,Amravati",0100551710,Oil and Paints Technology,Home University Seats Allotted to Home University Candidates,GOBCH,30.954192,False,False
01005,"Sant Gadge Baba Amravati University,Amravati",0100551710,Oil and Paints Technology,Home University Seats Allotted to Home University Candidates,LOPENH,43.5298862,False,False
01005,"Sant Gadge Baba Amravati University,Amravati",0100551710,Oil and Paints Technology,Home University Seats Allotted to Home University Candidates,LSCH,42.8773305,False,False
01005,"Sant Gadge Baba Amravati University,Amravati",0100552410,Paper and Pulp Technology,Home University Seats Allotted to Home University Candidates,GOPENH,22.5020163,False,False
01005,"Sant Gadge Baba Amravati University,Amravati",0100552410,Paper and Pulp Technology,Home University Seats Allotted to Other Than Home University Candidates,GOBCH,53.7424491,False,False
01005,"Sant Gadge Baba Amravati University,Amravati",0100552410,Paper and Pulp Technology,Other Than Home University Seats Allotted to Other Than Home University Candidates,LOPENO,19.1157452,False,False
01005,"Sant Gadge Baba Amravati University,Amravati",0100552710,Petro Chemical Engineering,Home University Seats Allotted to Home University Candidates,GOPENH,56.9588351,False,False
01005,"Sant Gadge Baba Amravati University,Amravati",0100552710,Petro Chemical Engineering,Home University Seats Allotted to Home University Candidates,GOBCH,34.8626522,False,False
01005,"Sant Gadge Baba Amravati University,Amravati",0100552710,Petro Chemical Engineering,Home University Seats Allotted to Home University Candidates,PWDOPENH,37.6881791,False,False
01005,"Sant Gadge Baba Amravati University,Amravati",0100552710,Petro Chemical Engineering,Home University Seats Allotted to Home University Candidates,GSTH,42.2216419,False,False
