branch_id,seat_type,category_code,percentile,is_tfws,is_ews
0101224510,Home University Seats Allotted to Home University Candidates,LNT3H,52.0276576,False,False
0101224510,Home University Seats Allotted to Home University Candidates,LOBCH,84.7973394,False,False
0101224510,Home University Seats Allotted to Other Than Home University Candidates,GSEBCH,77.8250739,False,False
0101224510,Other Than Home University Seats Allotted to Other Than Home University Candidates,GOPENO,93.6711065,False,False
0101224510,Other Than Home University Seats Allotted to Other Than Home University Candidates,GSCO,82.1493863,False,False
0101224510,Other Than Home University Seats Allotted to Other Than Home University Candidates,GSTO,72.5041736,False,False
0101224510,Other Than Home University Seats Allotted to Other Than Home University Candidates,GOBCO,89.7106951,False,False
0101224510,Other Than Home University Seats Allotted to Other Than Home University Candidates,LOPENO,86.0755637,False,False
0101224510,Other Than Home University Seats Allotted to Other Than Home University Candidates,LSCO,79.4895283,False,False
0101224510,Other Than Home University Seats Allotted to Other Than Home University Candidates,LNT2O,73.7743452,False,False
0101224510,State Level,EWS,75.3410409,False,True
0101229310,Home University Seats Allotted to Home University Candidates,GOPENH,69.7639628,False,False
0101229310,Home University Seats Allotted to Home University Candidates,GNT1H,50.8618056,False,False
0101229310,Home University Seats Allotted to Home University Candidates,GNT2H,57.3310702,False,False
0101229310,Home University Seats Allotted to Home University Candidates,GNT3H,18.5574725,False,False
0101229310,Home University Seats Allotted to Home University Candidates,GOBCH,66.1855163,False,False
0101229310,Home University Seats Allotted to Home University Candidates,LOPENH,62.8351694,False,False
0101229310,Home University Seats Allotted to Home University Candidates,LSCH,58.1588042,False,False
0101229310,Home University Seats Allotted to Home University Candidates,LOBCH,62.7216425,False,False
0101229310,Home University Seats Allotted to Home University Candidates,LSEBCH,67.0458361,False,False
0101229310,Home University Seats Allotted to Other Than Home University Candidates,GSEBCH,38.5392182,False,False
0101229310,Other Than Home University Seats Allotted to Other Than Home University Candidates,GOPENO,78.5613347,False,False
0101229310,Other Than Home University Seats Allotted to Other Than Home University Candidates,GSCO,72.5041736,False,False
0101229310,Other Than Home University Seats Allotted to Other Than Home University Candidates,GVJO,65.3627105,False,False
0101229310,State Level,TFWS,73.8893284,True,False
0101229310,State Level,ORPHAN,76.1358545,False,False
0101237210,Home University Seats Allotted to Home University Candidates,GOPENH,75.6212581,False,False
0101237210,Home University Seats Allotted to Home University Candidates,GSTH,71.4038201,False,False
0101237210,Home University Seats Allotted to Home University Candidates,GNT1H,72.5041736,False,False
0101237210,Home University Seats Allotted to Home University Candidates,GOBCH,73.8893284,False,False
0101237210,Home University Seats Allotted to Home University Candidates,LOPENH,67.5033807,False,False
0101237210,Home University Seats Allotted to Home University Candidates,LOBCH,72.1467831,False,False
0101237210,Home University Seats Allotted to Other Than Home University Candidates,GSEBCH,73.4468855,False,False
0101237210,Home University Seats Allotted to Other Than Home University Candidates,LSEBCH,66.1855163,False,False
0101237210,Other Than Home University Seats Allotted to Other Than Home University Candidates,GOPENO,82.7099252,False,False
0101237210,Other Than Home University Seats Allotted to Other Than Home University Candidates,GSCO,77.2074577,False,False
0101237210,Other Than Home University Seats Allotted to Other Than Home University Candidates,GOBCO,79.5235744,False,False
0101237210,Other Than Home University Seats Allotted to Other Than Home University Candidates,LOPENO,84.4941393,False,False
0101237210,Other Than Home University Seats Allotted to Other Than Home University Candidates,LSTO,25.6482713,False,False
0101237210,Other Than Home University Seats Allotted to Other Than Home University Candidates,LNT1O,81.9801476,False,False
0101237210,Other Than Home University Seats Allotted to Other Than Home University Candidates,LOBCO,81.0485225,False,False
0101237210,State Level,DEFOPENS,78.9120215,False,False
0101237210,State Level,TFWS,43.1231034,True,False
0101237210,State Level,ORPHAN,84.8307457,False,False
0101237210,State Level,EWS,79.1872032,False,True
0101261210,Home University Seats Allotted to Home University Candidates,GOPENH,57.1959853,False,False
0101261210,Home University Seats Allotted to Home University Candidates,GSCH,44.4778985,False,False
0101261210,Home University Seats Allotted to Home University Candidates,GVJH,42.2200941,False,False
0101261210,Home University Seats Allotted to Home University Candidates,GNT3H,25.6482713,False,False
0101261210,Home University Seats Allotted to Home University Candidates,GOBCH,52.9935209,False,False
0101261210,Home University Seats Allotted to Home University Candidates,LOPENH,68.0717863,False,False
0101261210,Home University Seats Allotted to Home University Candidates,LOBCH,47.9842799,False,False
0101261210,Home University Seats Allotted to Home University Candidates,PWDOBCH,54.0859766,False,False
0101261210,Home University Seats Allotted to Other Than Home University Candidates,GSEBCH,75.1972801,False,False
0101261210,Other Than Home University Seats Allotted to Other Than Home University Candidates,GOPENO,65.4406319,False,False
0101261210,Other Than Home University Seats Allotted to Other Than Home University Candidates,GSCO,57.1543272,False,False
0101261210,Other Than Home University Seats Allotted to Other Than Home University Candidates,GSTO,60.546705,False,False
0101261210,Other Than Home University Seats Allotted to Other Than Home University Candidates,GVJO,27.9969458,False,False
0101261210,Other Than Home University Seats Allotted to Other Than Home University Candidates,GOBCO,60.2921536,False,False
