college_code,college_name,University
3025,Svkm's Shri Bhagubhai Mafatlal Polytechnic & College of Engineering,"Dr. Babasaheb Ambedkar Technological University,Lonere"
3033,"Dr. Babasaheb Ambedkar Technological University, Lonere","Dr. Babasaheb Ambedkar Technological University,Lonere"
3035,"Usha Mittal Institute of Technology SNDT  Women's University, Mumbai",SNDT Women's University
3036,"Institute of Chemical Technology, Matunga, Mumbai",Deemed to be University
3042,"Loknete Shamrao Peje Government College of Engineering, Ratnagiri","Dr. Babasaheb Ambedkar Technological University,Lonere"
3135,"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",Mumbai University
3139,"Vidyalankar Institute of Technology,Wadala, Mumbai",Mumbai University
3143,"Thakur Shyamnarayan Engineering College, Mumbai",Mumbai University
3146,"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai",Mumbai University
3147,"Saraswati Education Society, Yadavrao Tasgaonkar  Institute of Engineering & Technology, Karjat",Mumbai University
3148,"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai",Mumbai University
3154,"Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai",Mumbai University
3175,"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai",Mumbai University
3176,"Thakur College of Engineering and Technology, Kandivali, Mumbai",Mumbai University
3182,"Thadomal Shahani Engineering College, Bandra, Mumbai",Mumbai University
3183,"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai",Mumbai University
3184,"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai",Mumbai University
3185,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",Mumbai University
3187,"N.Y.S.S.'s Datta Meghe College of Engineering, Airoli, Navi Mumbai",Mumbai University
3188,"Vasantdada Patil Pratishthan's College Of Engineering and Visual Arts, Sion, Mumbai",Mumbai University
3189,"Bharati Vidyapeeth College of Engineering,  Navi Mumbai",Mumbai University
3190,"Terna Engineering College, Nerul, Navi Mumbai",Mumbai University
