college_code,college_name,University
6250,"D.Y. Patil College of Engineering and Technology, Kolhapur",Shivaji University
6265,"Walchand Institute of Technology, Solapur",Punyashlok Ahilyadevi Holkar Solapur University
6267,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Shivaji University
6268,"Tatyasaheb Kore Institute of Engineering and Technology, Warananagar",Shivaji University
6269,"Shetkari Shikshan Mandal's Pad. Vasantraodada Patil Institute of Technology, Budhgaon, Sangli","Dr. Babasaheb Ambedkar Technological University,Lonere"
6270,"Rayat Shikshan Sanstha's Karmaveer Bhaurao Patil College of Engineering, Satara","Dr. Babasaheb Ambedkar Technological University,Lonere"
6271,Pune Institute of Computer Technology,Savitribai Phule Pune University
6272,"Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune",Savitribai Phule Pune University
6273,"Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute of Technology, Bibwewadi, Pune",Savitribai Phule Pune University
6274,"Pune Vidyarthi Griha's College of Engineering and Technology and G K Pate(Wani) Institute of  Management,  Pune",Savitribai Phule Pune University
6275,"Shivnagar Vidya Prasarak Mandal's College of Engineering, Malegaon-Baramati",Savitribai Phule Pune University
6276,"MKSSS's Cummins College of Engineering for Women, Karvenagar,Pune",Savitribai Phule Pune University
6277,"Dr. J. J. Magdum  Charitable Trust's Dr. J.J. Magdum College of Engineering, Jaysingpur",Shivaji University
6278,"All India Shri Shivaji Memorial Society's College of Engineering, Pune",Savitribai Phule Pune University
6281,"Modern Education Society's Wadia College of Engineering, Pune",Savitribai Phule Pune University
6282,"All India Shri Shivaji Memorial Society's Institute of Information Technology,Pune",Savitribai Phule Pune University
6283,"Annasaheb Dange College of Engineering and Technology, Ashta, Sangli",Shivaji University
6284,"Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering & Technology, Baramati Dist.Pune",Savitribai Phule Pune University
6285,"Bharati Vidyapeeth's College of Engineering for Women, Katraj, Dhankawadi, Pune",Savitribai Phule Pune University
6288,"Bharati Vidyapeeth's College of Engineering, Kolhapur",Shivaji University
6293,"Kai Amdar  Bramhadevdada Mane Shikshan & Samajik Prathistan's Bramhadevdada Mane Institute of Technology, Solapur",Punyashlok Ahilyadevi Holkar Solapur University
6298,"Zeal Education Society's Zeal College of Engineering & Reserch, Narhe, Pune",Savitribai Phule Pune University
6303,"Dr. Ashok Gujar Technical Institute's  Dr. Daulatrao Aher College of Engineering, Karad",Shivaji University
6304,"Loknete Hanumantrao Charitable Trust's Adarsh Institute of Technology and Research Centre, Vita,Sangli","Dr. Babasaheb Ambedkar Technological University,Lonere"
6305,"Late Narayandas Bhawandas Chhabada Institute of Engineering & Technology, Satara","Dr. Babasaheb Ambedkar Technological University,Lonere"
6307,"Dhole Patil Education Society, Dhole Patil College of Engineering, Wagholi, Tal. Haveli",Savitribai Phule Pune University
6308,"Shanti Education Society, A.G. Patil Institute of Technology, Soregaon, Solapur(North)","Dr. Babasaheb Ambedkar Technological University,Lonere"
6310,"Nutan Maharashtra Vidya Prasarak Mandal, Nutan Maharashtra Institute of Engineering &Technology, Talegaon station, Pune",Savitribai Phule Pune University
6311,"Jayawant Shikshan Prasarak Mandal, Bhivarabai Sawant Institute of Technology & Research, Wagholi",Savitribai Phule Pune University
6313,"Jaywant College of Engineering & Polytechnic , Kille Macchindragad Tal. Walva District- Sangali","Dr. Babasaheb Ambedkar Technological University,Lonere"
6315,Sanjeevan Group of Institutions,"Dr. Babasaheb Ambedkar Technological University,Lonere"
6317,"Sharad Institute of Technology College of Engineering, Yadrav(Ichalkaranji)","Dr. Babasaheb Ambedkar Technological University,Lonere"
6318,"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi","Dr. Babasaheb Ambedkar Technological University,Lonere"
6319,"Shahajirao Patil Vikas Pratishthan, S.B.Patil College of Engineering, Vangali, Tal. Indapur",Savitribai Phule Pune University
6320,"K.J.'s Educational Institute's K.J.College of Engineering & Management Research, Pisoli",Savitribai Phule Pune University
6321,"Vidya Vikas Pratishthan Institute of Engineering and Technology, Solapur","Dr. Babasaheb Ambedkar Technological University,Lonere"
6322,"Shree Gajanan Maharaj Shikshan Prasarak Manda'l Sharadchandra Pawar College of Engineering, Dumbarwadi",Savitribai Phule Pune University
6324,"Rajgad Dnyanpeeth's Shri Chhatrapati Shivajiraje College of Engineering, Bhor",Savitribai Phule Pune University
6325,"Alard  Charitable Trust's Alard College of Engineering and Management, Pune",Savitribai Phule Pune University
6326,Karmayogi Institute of Technology,"Dr. Babasaheb Ambedkar Technological University,Lonere"
6402,"NEW INSTITUTE OF TECHNOLOGY,KOLHAPUR","Dr. Babasaheb Ambedkar Technological University,Lonere"
6444,"Shriram Institute Of Engineering & Technology, (Poly), Paniv","Dr. Babasaheb Ambedkar Technological University,Lonere"
6466,"Shree Santkrupa Shikshan Sanstha, Shree Santkrupa Institute Of Engineering & Technology, Karad","Dr. Babasaheb Ambedkar Technological University,Lonere"
6468,"Swami Vivekananda Shikshan Sanstha, Dr. Bapuji Salunkhe Institute Of Engineering & Technology,Kolhapur","Dr. Babasaheb Ambedkar Technological University,Lonere"
6545,"Samarth Education Trust's Arvind Gavali College Of Engineering Panwalewadi, Varye,Satara.","Dr. Babasaheb Ambedkar Technological University,Lonere"
6609,"Jaihind College Of Engineering,Kuran",Savitribai Phule Pune University
6622,ISBM College Of Engineering Pune,Savitribai Phule Pune University
6628,"Dattakala Group Of Institutions, Swami - Chincholi Tal. Daund Dist. Pune",Savitribai Phule Pune University
6632,Navsahyadri Education Society's Group of Institutions,Savitribai Phule Pune University
6634,"KJEI's Trinity Academy of Engineering, Yewalewadi, Pune",Savitribai Phule Pune University
6635,Samarth College of Engineering and Management,Savitribai Phule Pune University
6640,"N. B. Navale Sinhgad College of Engineering, Kegaon, solapur",Punyashlok Ahilyadevi Holkar Solapur University
6643,"S K N Sinhgad College of Engineering, Korti Tal. Pandharpur Dist Solapur",Punyashlok Ahilyadevi Holkar Solapur University
6644,"Shri. Ambabai Talim Sanstha's Sanjay Bhokare Group of Institutes, Miraj","Dr. Babasaheb Ambedkar Technological University,Lonere"
6649,"TSSM's Bhivarabai Sawant College of Engineering and Research, Narhe, Pune",Savitribai Phule Pune University
6714,"APPASAHEB ALIAS SA.RE.PATIL INSTITUTE OF TECHNOLOGY, Dattanagar  Tal-Shirol, Dist Kolhapur","Dr. Babasaheb Ambedkar Technological University,Lonere"
6732,"Ajeenkya DY Patil School of Engineering, Lohegaon, Pune",Savitribai Phule Pune University
6754,"International Institute of Information Technology (I²IT), Pune.",Savitribai Phule Pune University
6755,"JSPM Narhe Technical Campus, Pune.",Savitribai Phule Pune University
6756,"Fabtech Technical Campus College of Engineering and Research, Sangola","Dr. Babasaheb Ambedkar Technological University,Lonere"
6757,"Yashoda Technical Campus, Wadhe, Satara.","Dr. Babasaheb Ambedkar Technological University,Lonere"
6758,"Sahyadri Valley College of Engineering & Technology, Rajuri, Pune.",Savitribai Phule Pune University
6759,"Shree Ramchandra College of Engineering, Lonikand,Pune",Savitribai Phule Pune University
6762,"Nanasaheb Mahadik College of Engineering,Walwa, Sangli.","Dr. Babasaheb Ambedkar Technological University,Lonere"
6766,Phaltan Education Society's College of Engineering Thakurki Tal- Phaltan Dist-Satara,"Dr. Babasaheb Ambedkar Technological University,Lonere"
6767,"Suman Ramesh Tulsiani Technical Campus: Faculty of Engineering, Kamshet,Pune.",Savitribai Phule Pune University
6768,"P.K. Technical Campus, Pune.",Savitribai Phule Pune University
6769,"Rasiklal M. Dhariwal Sinhgad Technical Institutes Campus, Warje, Pune.",Savitribai Phule Pune University
6770,"SKN Sinhgad Institute of Technology & Science, Kusgaon(BK),Pune.",Savitribai Phule Pune University
6771,"Flora Institute of Technology, Khopi, Near Khed Shivapur Toll Plaza, Pune",Savitribai Phule Pune University
6772,"NBN Sinhgad Technical Institutes Campus, Pune",Savitribai Phule Pune University
6780,"D.Y.Patil Education Society's,D.Y.Patil Technical Campus, Faculty of Engineering & Faculty of Management,Talsande,Kolhapur.",Shivaji University
6781,"Bhagwant Institute of Technology, Barshi","Dr. Babasaheb Ambedkar Technological University,Lonere"
6782,"Sahakar Maharshee Shankarrao Mohite Patil Institute of Technology & Research, Akluj","Dr. Babasaheb Ambedkar Technological University,Lonere"
6794,"Anantrao Pawar College of Engineering & Research, Pune",Savitribai Phule Pune University
6795,"Shri.Someshwar Shikshan Prasarak Mandal, Sharadchandra Pawar College of Engineering & Technology, Someshwar Nagar",Savitribai Phule Pune University
6796,"Bharati Vidyapeeth's College of Engineering,Lavale, Pune",Savitribai Phule Pune University
6797,"Dnyanshree Institute Engineering and Technology, Satara","Dr. Babasaheb Ambedkar Technological University,Lonere"
6799,"Shivganga Charitable Trust, Sangli Vishveshwarya Technical Campus, Faculty of Diploma Engineering, Patgaon, Miraj","Dr. Babasaheb Ambedkar Technological University,Lonere"
6803,"Sant Gajanan Maharaj College of Engineering, Gadhinglaj",Shivaji University
6808,"Keystone School of Engineering, Pune",Savitribai Phule Pune University
6811,Sanjay Ghodawat Institute,"Dr. Babasaheb Ambedkar Technological University,Lonere"
6815,"Vidya Prasarini Sabha's College of Engineering & Technology, Lonavala",Savitribai Phule Pune University
6822,"Pimpri Chinchwad Education Trust's Pimpri Chinchwad College Of Engineering And Research, Ravet",Savitribai Phule Pune University
6834,"Dr.D.Y.Patil College Of Engineering & Innovation,Talegaon",Savitribai Phule Pune University
6839,"Dr. D Y Patil Pratishthan's College of Engineering, Kolhapur",Shivaji University
6878,"Dr. A. D. Shinde College Of Engineering, Tal.Gadhinglaj, Kolhapur",Shivaji University
6901,"MAEER's MIT College of Railway Engineering and Research, Jamgaon, Barshi",Punyashlok Ahilyadevi Holkar Solapur University
6938,Shree Siddheshwar Women's College Of Engineering Solapur.,"Dr. Babasaheb Ambedkar Technological University,Lonere"
6991,"Dr. D.Y. Patil Technical Campus, Varale, Talegaon, Pune",Savitribai Phule Pune University
