college_code,college_name,district
3211,"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",Mumbai
3423,"Shree L.R. Tiwari College of Engineering, Mira Road, Mumbai",Mumbai
3214,"Xavier Institute Of Engineering C/O  Xavier Technical Institute,Mahim,Mumbai",Mumbai
3215,"Bhartiya Vidya Bhavan's Sardar Patel Institute  of Technology , Andheri, Mumbai",Mumbai
3353,"Dilkap Research Institute Of Engineering and Management Studies, At.Mamdapur, Post- Neral, Tal- Karjat,  Mumbai",Mumbai
3204,"St. Francis Institute of Technology,Borivali, Mumbai",Mumbai
3193,"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",Mumbai
3197,"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",Mumbai
3190,"Terna Engineering College, Nerul, Navi Mumbai",Mumbai
3139,"Vidyalankar Institute of Technology,Wadala, Mumbai",Mumbai
3143,"Thakur Shyamnarayan Engineering College, Mumbai",Mumbai
3146,"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai",Mumbai
3148,"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai",Mumbai
3154,"Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai",Mumbai
3175,"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai",Mumbai
3192,"Smt. Indira Gandhi College of Engineering, Navi Mumbai",Mumbai
3182,"Thadomal Shahani Engineering College, Bandra, Mumbai",Mumbai
3176,"Thakur College of Engineering and Technology, Kandivali, Mumbai",Mumbai
3184,"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai",Mumbai
3185,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",Mumbai
3187,"N.Y.S.S.'s Datta Meghe College of Engineering, Airoli, Navi Mumbai",Mumbai
3188,"Vasantdada Patil Pratishthan's College Of Engineering and Visual Arts, Sion, Mumbai",Mumbai
3189,"Bharati Vidyapeeth College of Engineering,  Navi Mumbai",Mumbai
3183,"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai",Mumbai
4116,"Ankush Shikshan Sanstha's G.H.Raisoni College of Engineering, Nagpur",Nagpur
4123,"Lokmanya Tilak Jankalyan Shikshan Sanstha, Priyadarshani College of Engineering, Nagpur",Nagpur
4133,"Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering, Nagpur",Nagpur
4025,"Government College of Engineering, Nagpur",Nagpur
4136,"Lokmanya Tilak Jankalyan Shikshan Sastha, Priyadarshini J. L. College Of Engineering, Nagpur",Nagpur
4134,"Guru Nanak Institute of Engineering & Technology,Kalmeshwar, Nagpur",Nagpur
4196,"Gurunanak Educational Society's Gurunanak Institute of Technology, Nagpur",Nagpur
4135,"Amar Seva Mandal's Shree Govindrao Vanjari College of Engineering &  Technology, Nagpur",Nagpur
4137,"Sir Shantilal Badjate Charitable Trust's S. B. Jain Institute of technology, Management & Research, Nagpur",Nagpur
4167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",Nagpur
4139,"Samridhi Sarwajanik Charitable Trust, Jhulelal Institute of Technology, Nagpur",Nagpur
4141,"Shriram Gram Vikas Shikshan Sanstha, Vilasrao Deshmukh College of Engineering and Technology, Nagpur",Nagpur
4142,"G H Raisoni College of Engineering & Management, Nagpur",Nagpur
4193,"K.D.M. Education Society, Vidharbha Institute of Technology,Umred Road ,Nagpur",Nagpur
4144,"Shri. Sai Shikshan Sanstha, Nagpur Institute of Technology, Nagpur",Nagpur
4145,"Wainganga College of Engineering and Management, Dongargaon, Nagpur",Nagpur
4147,"K.D.K. College of Engineering, Nagpur",Nagpur
4151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",Nagpur
4192,"Maitraya Education Society, Nagarjuna Institute of Engineering Technology & Management, Nagpur",Nagpur
4181,"Swaminarayan Siddhanta Institute Of Technology, Nagpur",Nagpur
4172,"Anjuman College of Engineering & Technology, Nagpur",Nagpur
4613,"Suryodaya College of Engineering & Technology, Nagpur",Nagpur
4177,"Priyadarshini Bhagwati  College of Engineering, Harpur Nagar, Umred Road,Nagpur",Nagpur
4138,"Jaidev Education Society, J D College of Engineering and Management, Nagpur",Nagpur
4174,"ST. Vincent Pallotti College of Engineering & Technology, Nagpur",Nagpur
4285," V M Institute of Engineering and Technology, Dongargaon, Nagpur",Nagpur
4304,"Cummins College of Engineering For Women, Sukhali (Gupchup), Tal. Hingna Hingna Nagpur",Nagpur
2508,GRAMIN TECHNICAL AND MANAGEMENT CAMPUS NANDED.,Nanded
2637,"Jijau Institute of Engineering Technology and Management, Khandgaon (Bendri), Taluka Naigaon, District Nanded",Nanded
2116,"Matoshri Pratishan's Group of Institutions (Integrated Campus), Kupsarwadi , Nanded",Nanded
2020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Nanded
5497,"P.G. College of Engineering & Technology, Nandurbar",Nandurbar
5164,"P.S.G.V.P. Mandal's D.N. Patel College of Engineering, Shahada, Dist. Nandurbar",Nandurbar
5330,"PUNE VIDYARTHI GRIHA’S COLLEGE OF ENGINEERING & SHRIKRUSHNA S. DHAMANKAR INSTITUTE OF MANAGEMENT, NASHIK",Nashik
