college_code,college_name,district
6265,"Walchand Institute of Technology, Solapur",Solapur
6938,Shree Siddheshwar Women's College Of Engineering Solapur.,Solapur
6223,"Pradnya Niketan Education Society's Nagesh Karajagi Orchid College of Engineering & Technology, Solapur",Solapur
6219,"KSGBS's Bharat- Ratna Indira Gandhi College of Engineering, Kegaon, Solapur",Solapur
6293,"Kai Amdar  Bramhadevdada Mane Shikshan & Samajik Prathistan's Bramhadevdada Mane Institute of Technology, Solapur",Solapur
6640,"N. B. Navale Sinhgad College of Engineering, Kegaon, solapur",Solapur
6308,"Shanti Education Society, A.G. Patil Institute of Technology, Soregaon, Solapur(North)",Solapur
6643,"S K N Sinhgad College of Engineering, Korti Tal. Pandharpur Dist Solapur",Solapur
6321,"Vidya Vikas Pratishthan Institute of Engineering and Technology, Solapur",Solapur
3465,"Ideal Institute of Technology, Wada, Dist.Thane",Thane
3210,"Excelsior Education Society's K.C. College of Engineering and Management Studies and Research, Kopri, Thane (E)",Thane
3257,"Vidya Prasarak Mandal's College of Engineering, Thane",Thane
3217,"Vighnaharata Trust's  Shivajirao S. Jondhale College of Engineering & Technology, Shahapur, Asangaon, Dist Thane",Thane
3475,"A. P. Shah Institute of Technology, Thane",Thane
3471,"New Horizon Institute of Technology & Management, Thane",Thane
4648,"R.V. Parankar College of Engineering & Technology, Arvi, Dist Wardha",Wardha
4649,"Bajaj Institute of Technology, Wardha",Wardha
4175,"JMSS Shri Shankarprasad Agnihotri College of Engineering, Wardha",Wardha
1180,"Sanmati Engineering College, Sawargaon Barde, Washim",Washim
1012,"Government College of Engineering,Yavatmal",Yavatmal
1120,"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Yavatmal
1127,"Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal",Yavatmal
