Rank,Percentile,Choice Code,Merit Exam
40948,62.4401366,0211437210,JEE(Main)-2024
20686,79.8386962,0211424210,JEE(Main)-2024
69101,37.6420166,0211626310,JEE(Main)-2024
59926,46.2084543,0211624210,JEE(Main)-2024
88046,10.0424586,0211637210,JEE(Main)-2024
77522,27.8601519,0211691110,JEE(Main)-2024
173961,24.7657909,0211619110,MHT-CET
187808,3.8939900,0211629310,MHT-CET
29079,72.5289287,0212724210,JEE(Main)-2024
48833,56.0063988,0212792110,JEE(Main)-2024
68305,38.1695803,0212761210,JEE(Main)-2024
44397,59.8276777,0212737210,JEE(Main)-2024
77194,28.1395457,0212791610,JEE(Main)-2024
38741,64.3362689,0212724610,JEE(Main)-2024
68074,38.6254844,0212719110,JEE(Main)-2024
57149,48.7069037,0212991110,JEE(Main)-2024
60111,46.1308076,0212937210,JEE(Main)-2024
46209,58.2303450,0212924610,JEE(Main)-2024
33596,68.6174754,0212924210,JEE(Main)-2024
89542,5.6390354,0212919110,JEE(Main)-2024
90054,3.9809630,0212929310,JEE(Main)-2024
188194,3.1263256,0212961210,MHT-CET
188589,2.3547683,0213019110,MHT-CET
188926,1.6171274,0213061210,MHT-CET
159706,40.7306838,0213037210,MHT-CET
54062,51.4671199,0213024210,JEE(Main)-2024
75743,30.2248659,0213099510,JEE(Main)-2024
142139,56.8466110,0213124210,MHT-CET
186640,6.2330849,0213119110,MHT-CET
186861,5.8257220,0213137210,MHT-CET
186209,6.8368204,0213319110,MHT-CET
72606,33.5616760,0213324210,JEE(Main)-2024
167023,32.8923205,0213384410,MHT-CET
187957,3.6167117,0213329310,MHT-CET
189499,0.1479040,0213461510,MHT-CET
40375,62.8786263,0213424210,JEE(Main)-2024
186793,6.0443251,0213437810,MHT-CET
176102,22.1725851,0213419110,MHT-CET
67678,39.1527671,0213484410,JEE(Main)-2024
55644,49.9560715,0213491210,JEE(Main)-2024
88989,7.3036635,0213429310,JEE(Main)-2024
71831,34.6959400,0213591110,JEE(Main)-2024
61538,44.8443341,0213524210,JEE(Main)-2024
161718,38.8659877,0213561210,MHT-CET
181564,14.3617021,0213519110,MHT-CET
181523,14.7377685,0213661210,MHT-CET
163826,36.6283954,0213619110,MHT-CET
157326,43.1231034,0213624610,MHT-CET
187742,4.0184508,0213629310,MHT-CET
177057,21.0368242,0213692110,MHT-CET
108941,80.4298831,0213691210,MHT-CET
88531,8.6286825,0213637210,JEE(Main)-2024
84415,17.2078076,0213624210,JEE(Main)-2024
108324,80.7858869,0213729710,MHT-CET
180343,16.2423214,0213724210,MHT-CET
179453,17.7766170,0213819110,MHT-CET
179662,17.3380806,0213861210,MHT-CET
164518,35.5925864,0213829310,MHT-CET
57356,48.5852903,0213824210,JEE(Main)-2024
181902,13.9490359,0214619110,MHT-CET
176882,21.3858708,0214624210,MHT-CET
184807,9.5359294,0225029310,MHT-CET
184957,9.2050034,0225019110,MHT-CET
188165,3.1374668,0225061210,MHT-CET
17710,82.5855887,0225024210,JEE(Main)-2024
17283,82.9590386,0225037210,JEE(Main)-2024
59497,46.6555544,0225224210,JEE(Main)-2024
186303,6.7863525,0225261210,MHT-CET
179997,16.7391126,0225219110,MHT-CET
148017,51.2783205,0225229710,MHT-CET
64678,42.0665339,0225424610,JEE(Main)-2024
171955,27.5123271,0225437210,MHT-CET
79313,25.2000150,0225429310,JEE(Main)-2024
44476,59.6793493,0225424510,JEE(Main)-2024
110766,79.1318865,0225419110,MHT-CET
172612,27.1291039,0228224610,MHT-CET
179586,17.7533973,0228224510,MHT-CET
73971,32.0362067,0228290010,JEE(Main)-2024
188808,1.8370822,0228219110,MHT-CET
188264,3.0431498,0250829310,MHT-CET
37295,66.9569433,0250850310,JEE(Main)-2024
161922,38.7773761,0250819110,MHT-CET
172377,27.4048925,0250837210,MHT-CET
186814,5.9571815,0250861210,MHT-CET
75852,29.8076469,0250824510,JEE(Main)-2024
37245,67.0143149,0250850310,NEET-2024
182617,13.0626183,0251629710,MHT-CET
167003,32.8923205,0251661210,MHT-CET
66393,40.0503434,0251624210,JEE(Main)-2024
148874,50.8618056,0251619110,MHT-CET
67250,39.4612222,0251692110,JEE(Main)-2024
180647,15.9989858,0252299510,MHT-CET
189205,0.9572868,0252237210,MHT-CET
65937,40.8058819,0252224510,JEE(Main)-2024
43483,60.3847628,0253399510,JEE(Main)-2024
67894,38.8393771,0253337810,JEE(Main)-2024
71128,35.2437565,0253319110,JEE(Main)-2024
53281,52.1076408,0253384410,JEE(Main)-2024
62935,43.5542521,0253329310,JEE(Main)-2024
31631,70.4405987,0253324210,JEE(Main)-2024
59373,46.6975840,0253392810,JEE(Main)-2024
77486,27.9307838,0253361210,JEE(Main)-2024
181866,13.9490359,0263724510,MHT-CET
189233,0.8519303,0263724610,MHT-CET
74949,30.8156734,0263799710,JEE(Main)-2024
54295,51.2103001,0264199710,JEE(Main)-2024
57150,48.7069037,0264124210,JEE(Main)-2024
179251,18.1477824,0266624210,MHT-CET
187453,4.7766958,0266692110,MHT-CET
54831,50.8381311,0266656610,JEE(Main)-2024
71914,34.5898521,0266624610,JEE(Main)-2024
12547,87.2512345,0302524270,JEE(Main)-2024
17076,83.0877922,0302524670,JEE(Main)-2024
9850,89.7090111,0302524570,JEE(Main)-2024
17640,82.6084538,0302591170,JEE(Main)-2024
1233,98.0422552,0303651310,NEET-2024
