branch_id,college_code,branch_name
0211424210,02114,Computer Science and Engineering
0211437210,02114,Electronics and Telecommunication Engg
0211461210,02114,Mechanical Engineering
0211491110,02114,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
0211619110,02116,Civil Engineering
0211624210,02116,Computer Science and Engineering
0211626310,02116,Artificial Intelligence (AI) and Data Science
0211629310,02116,Electrical Engineering
0211637210,02116,Electronics and Telecommunication Engg
0211661510,02116,Mechanical & Automation Engineering
0211691110,02116,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
0212719110,02127,Civil Engineering
0212724210,02127,Computer Science and Engineering
0212724610,02127,Information Technology
0212737210,02127,Electronics and Telecommunication Engg
0212761210,02127,Mechanical Engineering
0212791610,02127,Automation and Robotics
0212792110,02127,Artificial Intelligence and Machine Learning
0212919110,02129,Civil Engineering
0212924210,02129,Computer Science and Engineering
0212924610,02129,Information Technology
0212929310,02129,Electrical Engineering
0212937210,02129,Electronics and Telecommunication Engg
0212946310,02129,Architectural Assistantship
0212961210,02129,Mechanical Engineering
0212991110,02129,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
0213019110,02130,Civil Engineering
0213024210,02130,Computer Science and Engineering
0213037210,02130,Electronics and Telecommunication Engg
0213061210,02130,Mechanical Engineering
0213099510,02130,Artificial Intelligence and Data Science
0213119110,02131,Civil Engineering
0213124210,02131,Computer Science and Engineering
0213137210,02131,Electronics and Telecommunication Engg
0213319110,02133,Civil Engineering
0213324210,02133,Computer Science and Engineering
0213329310,02133,Electrical Engineering
0213361210,02133,Mechanical Engineering
0213384410,02133,Electronics and Computer Engineering
0213419110,02134,Civil Engineering
0213424210,02134,Computer Science and Engineering
0213429310,02134,Electrical Engineering
0213437810,02134,Electronics Engineering ( VLSI Design and Technology)
0213461510,02134,Mechanical & Automation Engineering
0213484410,02134,Electronics and Computer Engineering
0213491210,02134,Computer Science and Engineering(Data Science)
0213519110,02135,Civil Engineering
0213524210,02135,Computer Science and Engineering
0213561210,02135,Mechanical Engineering
0213591110,02135,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
0213619110,02136,Civil Engineering
0213624210,02136,Computer Science and Engineering
0213624610,02136,Information Technology
0213629310,02136,Electrical Engineering
0213637210,02136,Electronics and Telecommunication Engg
0213661210,02136,Mechanical Engineering
0213691210,02136,Computer Science and Engineering(Data Science)
0213692110,02136,Artificial Intelligence and Machine Learning
0213724210,02137,Computer Science and Engineering
0213819110,02138,Civil Engineering
0213824210,02138,Computer Science and Engineering
0213829310,02138,Electrical Engineering
0213861210,02138,Mechanical Engineering
0214619110,02146,Civil Engineering
0214624210,02146,Computer Science and Engineering
0214637210,02146,Electronics and Telecommunication Engg
0214661210,02146,Mechanical Engineering
0225019110,02250,Civil Engineering
0225024210,02250,Computer Science and Engineering
0225029310,02250,Electrical Engineering
0225037210,02250,Electronics and Telecommunication Engg
0225061210,02250,Mechanical Engineering
0225219110,02252,Civil Engineering
0225224210,02252,Computer Science and Engineering
0225229710,02252,Electrical and Electronics Engineering
0225261210,02252,Mechanical Engineering
0225419110,02254,Civil Engineering
0225424510,02254,Computer Engineering
0225424610,02254,Information Technology
0225429310,02254,Electrical Engineering
0225437210,02254,Electronics and Telecommunication Engg
0225461210,02254,Mechanical Engineering
0228224510,02282,Computer Engineering
0228224610,02282,Information Technology
0228290010,02282,Electronics and Computer Science
0250819110,02508,Civil Engineering
0250824510,02508,Computer Engineering
0250829310,02508,Electrical Engineering
0250837210,02508,Electronics and Telecommunication Engg
0250850310,02508,Food Technology
0250861210,02508,Mechanical Engineering
0250890610,02508,Civil Engineering (Structural Engineering)
0250890710,02508,Food Engineering
0250890810,02508,Mechanical and Automation Engineering
0250891410,02508,Safety and Fire Engineering
0251619110,02516,Civil Engineering
0251624210,02516,Computer Science and Engineering
0251629710,02516,Electrical and Electronics Engineering
0251661210,02516,Mechanical Engineering
0251692110,02516,Artificial Intelligence and Machine Learning
0252224510,02522,Computer Engineering
0252237210,02522,Electronics and Telecommunication Engg
0252261210,02522,Mechanical Engineering
0252299510,02522,Artificial Intelligence and Data Science
0253319110,02533,Civil Engineering
0253324210,02533,Computer Science and Engineering
0253329310,02533,Electrical Engineering
0253337810,02533,Electronics Engineering ( VLSI Design and Technology)
0253361210,02533,Mechanical Engineering
0253384410,02533,Electronics and Computer Engineering
0253392810,02533,Electronics and Communication(Advanced Communication Technology)
0253399510,02533,Artificial Intelligence and Data Science
0263719110,02637,Civil Engineering
0263724510,02637,Computer Engineering
0263724610,02637,Information Technology
0263737210,02637,Electronics and Telecommunication Engg
0263799710,02637,Artificial Intelligence
0264124210,02641,Computer Science and Engineering
0264161210,02641,Mechanical Engineering
0264199710,02641,Artificial Intelligence
0266624210,02666,Computer Science and Engineering
0266624610,02666,Information Technology
0266656610,02666,Computer Science
0266692110,02666,Artificial Intelligence and Machine Learning
0275824210,02758,Computer Science and Engineering
0275829310,02758,Electrical Engineering
0275899710,02758,Artificial Intelligence
0301219110,03012,Civil Engineering
0301224610,03012,Information Technology
0301229310,03012,Electrical Engineering
0301237210,03012,Electronics and Telecommunication Engg
0301237610,03012,Electronics Engineering
0301261210,03012,Mechanical Engineering
0301262610,03012,Production Engineering[Sandwich]
0301289610,03012,Textile Technology
0301419110,03014,Civil Engineering
0301429310,03014,Electrical Engineering
0301461210,03014,Mechanical Engineering
0303319110,03033,Civil Engineering
0303324510,03033,Computer Engineering
0303324610,03033,Information Technology
0303329310,03033,Electrical Engineering
0303337210,03033,Electronics and Telecommunication Engg
0303337810,03033,Electronics Engineering ( VLSI Design and Technology)
0303350710,03033,Chemical Engineering
0303352710,03033,Petro Chemical Engineering
0303361210,03033,Mechanical Engineering
0303390510,03033,Computer Science and Engineering
0303650710,03036,Chemical Engineering
0303651110,03036,Dyestuff Technology
0303651310,03036,Pharmaceuticals Chemistry and Technology
0303651410,03036,Fibres and Textile Processing Technology
0303651910,03036,Polymer Engineering and Technology
0303653410,03036,Food Engineering and Technology
0304229310,03042,Electrical Engineering
0304250410,03042,Food Technology And Management
0304262410,03042,Mechatronics Engineering
0304291810,03042,Civil and infrastructure Engineering
0304299510,03042,Artificial Intelligence and Data Science
0313524510,03135,Computer Engineering
0313524610,03135,Information Technology
0313537210,03135,Electronics and Telecommunication Engg
0313561210,03135,Mechanical Engineering
0313599510,03135,Artificial Intelligence and Data Science
0313924510,03139,Computer Engineering
0313924610,03139,Information Technology
0313937210,03139,Electronics and Telecommunication Engg
0313946110,03139,Bio Medical Engineering
0313990010,03139,Electronics and Computer Science
0314324510,03143,Computer Engineering
0314324610,03143,Information Technology
0314361210,03143,Mechanical Engineering
0314384410,03143,Electronics and Computer Engineering
0314391110,03143,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
0314624510,03146,Computer Engineering
0314624610,03146,Information Technology
0314629310,03146,Electrical Engineering
0314637210,03146,Electronics and Telecommunication Engg
0314661210,03146,Mechanical Engineering
0314692010,03146,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain
